Age,Bodymass,Height,Education,Martial_Status,Occupation,Race,Sex,Hours_per_week,Country,Target
|1x3 Cross validator,112.82,175.64,,,,,,,,
25,78.81,160.96, 11th, Never-married, Machine-op-inspct, Black, Male,40.0, United-States, <=50K.
38,82.35,148.96, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,50.0, United-States, <=50K.
28,46.3,149.62, Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male,40.0, United-States, >50K.
44,107.85,146.28, Some-college, Married-civ-spouse, Machine-op-inspct, Black, Male,40.0, United-States, >50K.
18,46.16,132.09, Some-college, Never-married,, White, Female,30.0, United-States, <=50K.
34,46.77,170.55, 10th, Never-married, Other-service, White, Male,30.0, United-States, <=50K.
29,85.88,155.29, HS-grad, Never-married,, Black, Male,40.0, United-States, <=50K.
63,56.12,186.62, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,32.0, United-States, >50K.
24,80.5,184.15, Some-college, Never-married, Other-service, White, Female,40.0, United-States, <=50K.
55,76.03,165.08, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,10.0, United-States, <=50K.
65,97.26,156.04, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, >50K.
36,65.25,188.69, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40.0, United-States, <=50K.
26,54.01,156.39, HS-grad, Never-married, Adm-clerical, White, Female,39.0, United-States, <=50K.
58,105.03,173.31, HS-grad, Married-civ-spouse,, White, Male,35.0, United-States, <=50K.
48,87.03,146.08, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,48.0, United-States, >50K.
43,73.92,182.21, Masters, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
20,91.04,162.16, Some-college, Never-married, Other-service, White, Male,25.0, United-States, <=50K.
43,110.01,192.18, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,30.0, United-States, <=50K.
37,55.63,167.95, HS-grad, Widowed, Machine-op-inspct, White, Female,20.0, United-States, <=50K.
40,104.57,135.36, Doctorate, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,45.0,, >50K.
34,63.43,141.7, Bachelors, Married-civ-spouse, Tech-support, White, Male,47.0, United-States, >50K.
34,54.58,152.44, Some-college, Never-married, Other-service, Black, Female,35.0, United-States, <=50K.
72,55.78,182.8, 7th-8th, Divorced,, White, Female,6.0, United-States, <=50K.
25,83.74,137.5, Bachelors, Never-married, Prof-specialty, White, Male,43.0, Peru, <=50K.
25,74.05,141.12, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, <=50K.
45,74.87,132.14, HS-grad, Married-civ-spouse, Craft-repair, White, Male,90.0, United-States, >50K.
22,60.45,151.88, HS-grad, Never-married, Adm-clerical, White, Male,20.0, United-States, <=50K.
23,74.67,160.08, HS-grad, Separated, Machine-op-inspct, Black, Male,54.0, United-States, <=50K.
54,101.31,160.72, HS-grad, Married-civ-spouse, Craft-repair, White, Male,35.0, United-States, <=50K.
32,108.73,175.43, Some-college, Never-married, Prof-specialty, White, Male,60.0, United-States, <=50K.
46,95.97,139.65, Some-college, Married-civ-spouse, Exec-managerial, Black, Male,38.0, United-States, >50K.
56,99.8,170.03, 11th, Widowed, Other-service, White, Female,50.0, United-States, <=50K.
24,86.04,169.36, Bachelors, Never-married, Sales, White, Male,50.0, United-States, <=50K.
23,48.01,186.04, Some-college, Married-civ-spouse, Protective-serv, White, Male,40.0, United-States, <=50K.
26,47.21,141.9, HS-grad, Divorced, Exec-managerial, White, Female,40.0, United-States, <=50K.
65,97.54,132.15, HS-grad, Married-civ-spouse,, White, Male,40.0, United-States, <=50K.
36,87.27,157.33, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
22,97.47,185.02, 5th-6th, Never-married, Priv-house-serv, White, Male,50.0, Guatemala, <=50K.
17,58.69,145.51, 10th, Never-married, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
20,67.86,182.96, HS-grad, Never-married, Craft-repair, White, Male,40.0, United-States, <=50K.
65,48.21,139.1, Masters, Married-civ-spouse, Prof-specialty, White, Male,50.0, United-States, >50K.
44,103.87,155.1, Assoc-voc, Married-civ-spouse, Sales, White, Male,45.0, United-States, >50K.
36,85.25,175.17, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,40.0, United-States, <=50K.
29,73.7,173.03, 11th, Married-civ-spouse, Other-service, White, Male,40.0, United-States, <=50K.
20,109.98,164.3, Some-college, Never-married, Farming-fishing, White, Male,32.0, United-States, <=50K.
28,47.25,165.94, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Female,36.0, United-States, >50K.
39,96.56,178.05, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,40.0, Mexico, <=50K.
54,103.77,156.36, Some-college, Married-civ-spouse, Transport-moving, White, Male,50.0, United-States, <=50K.
52,75.69,183.75, 11th, Separated, Priv-house-serv, Black, Female,18.0, United-States, <=50K.
56,99.54,190.68, HS-grad, Widowed, Exec-managerial, White, Female,50.0, United-States, <=50K.
18,76.77,169.59, Some-college, Never-married, Other-service, White, Male,20.0, United-States, <=50K.
39,54.7,171.16, HS-grad, Divorced, Handlers-cleaners, Black, Male,40.0, United-States, <=50K.
21,63.03,168.15, Some-college, Never-married, Other-service, White, Female,24.0, United-States, <=50K.
22,60.89,135.44, HS-grad, Never-married, Other-service, White, Male,60.0, United-States, >50K.
38,75.83,137.53, 9th, Married-spouse-absent, Exec-managerial, White, Male,54.0, Mexico, <=50K.
21,63.69,170.4, Some-college, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
63,66.46,134.02, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
34,84.42,133.24, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
42,52.51,152.04, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
33,74.98,186.45, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
30,82.9,175.55, Bachelors, Never-married, Exec-managerial, White, Female,50.0, United-States, <=50K.
39,106.0,180.22, Some-college, Divorced, Sales, White, Male,40.0, United-States, <=50K.
26,72.05,142.53, Masters, Never-married, Exec-managerial, White, Female,40.0, United-States, <=50K.
